Account,Link,Tenemos datos?,Fecha ultima actualización data ,similar a ,Followers,1ra Categoría,2da Categoría,3ra Categoría,ER,% Male,% Female,M 13-17,M 18-24,M 25-34,M 35-44,M 45-54,M 55-64,"M ""+65""",F 13-17,F 18-24,F 25-34,F 35-44,F 45-54,F 55-64,"F ""+65""",Argentina,Other,CPM historico,Tiene Fee Plataforma?,REPRESENTANTE,Nombre Perfil
flootero TK,https://www.instagram.com/flootero TK,No,6/8/2022,flootero,146700,Actor/Actress,,,0.01,0.16,0.84,0.02,0.16,0.47,0.26,0.07,0.02,0.00,0.01,0.17,0.53,0.21,0.04,0.01,0.03,0.89,0.11,,,,
flor_de_p,https://www.instagram.com/flor_de_p,Si,17/09/2020,,5005949,Actor/Actress,Celebrities,,0.03,0.35,0.65,0.03,0.22,0.40,0.22,0.09,0.03,0.01,0.03,0.23,0.39,0.22,0.08,0.03,0.01,0.88,0.12,0,,,
florbertottiok,https://www.instagram.com/florbertottiok,Si,16/4/20,,1600000,Actor/Actress,,,0.02,0.11,0.89,0.02,0.22,0.43,0.23,0.07,0.02,0.01,0.02,0.26,0.45,0.20,0.05,0.01,0.01,0.79,0.21,0,,,
florrcagnasso,https://www.instagram.com/florrcagnasso,Si,9/21/2022,,115488,Actor/Actress,,,0.02,0.13,0.87,0.04,0.40,0.35,0.11,0.07,0.02,0.01,0.09,0.47,0.30,0.08,0.04,0.01,0.01,0.71,0.29,,,,
florrcagnasso TK,https://www.instagram.com/florrcagnasso TK,No,3/9/2022,florrcagnasso,44000,Actor/Actress,,,0.01,0.13,0.87,0.04,0.40,0.35,0.11,0.07,0.02,0.01,0.09,0.47,0.30,0.08,0.04,0.01,0.01,0.71,0.29,,,,
fonzista,https://www.instagram.com/fonzista,Si,2/2/2022,,578508,Actor/Actress,,,0.02,0.11,0.89,0.04,0.28,0.42,0.18,0.06,0.01,0.01,0.04,0.33,0.47,0.12,0.03,0.01,0.00,0.85,0.15,0,,,
Franrizzaro,https://www.instagram.com/Franrizzaro,No,1/20/2022,domenechcaro,182000,Actor/Actress,,,0.03,0.16,0.84,0.07,0.43,0.29,0.12,0.06,0.02,0.01,0.13,0.50,0.22,0.09,0.04,0.01,0.01,0.77,0.23,,,,
Franrizzaro TK,https://www.instagram.com/Franrizzaro TK,No,1/20/2022,Franrizzaro,29400,Actor/Actress,,,0.11,0.16,0.84,0.07,0.43,0.29,0.12,0.06,0.02,0.01,0.13,0.50,0.22,0.09,0.04,0.01,0.01,0.77,0.23,,,,
ftorrente,https://www.instagram.com/ftorrente,No,2/1/2019,sabrinagarciarena,1300000,Actor/Actress,,,0.02,0.22,0.78,0.03,0.26,0.42,0.21,0.06,0.01,0.01,0.02,0.23,0.48,0.20,0.05,0.01,0.01,0.80,0.20,,si,si,si
furtadonico,https://www.instagram.com/furtadonico,No,4/22/2019,guilera_juan,1700000,Actor/Actress,,,0.05,0.11,0.89,0.03,0.25,0.47,0.17,0.06,0.02,0.01,0.02,0.31,0.49,0.14,0.03,0.00,0.01,0.80,0.20,0,,,
